Gene,Start,End,Strand
ghoT,4352908,4353081,+
ghrA,1097886,1098824,+
ghrB,3717310,3718284,+
ghxP,4278479,4279828,+
ghxQ,3027121,3028488,+
glaH,2788985,2789962,+
glaR,2795674,2796336,+
glcA,3119597,3121279,-
glcB,3121634,3123805,-
glcC,3128272,3129036,+
glcD,3126522,3128021,-
glcE,3125470,3126522,-
glcF,3124236,3125459,-
glcG,3123827,3124231,-
gldA,4137932,4139035,-
glf,2107226,2108329,-
glgA,3566600,3568033,-
glgB,3571316,3573502,-
glgC,3568033,3569328,-
glgP,3564134,3566581,-
glgS,3191739,3191939,-
glgX,3569346,3571319,-
glk,2508461,2509426,-
glmM,3322733,3324070,-
glmS,3911839,3913668,-
glmU,3913830,3915200,-
glmY,2691157,2691340,-
glmZ,3986432,3986603,+
glnA,4056625,4058034,-
glnB,2687070,2687408,-
glnD,185978,188650,-
glnE,3196801,3199641,-
glnG,4053869,4055278,-
glnH,847258,848004,-
glnK,472598,472936,+
glnL,4055290,4056339,-
glnP,846460,847119,-
glnQ,845741,846463,-
glnS,706093,707757,+
glnU,696865,696939,-
glnV,696542,696616,-
glnW,696756,696830,-
glnX,696430,696504,-
gloA,1727837,1728244,+
gloB,234027,234782,-
gloC,983650,984297,+
glpA,2352647,2354275,+
glpB,2354265,2355524,+
glpC,2355521,2356711,+
glpD,3562013,3563518,+
glpE,3561497,3561823,-
glpF,4117245,4118090,-
glpG,3560622,3561452,-
glpK,4115714,4117222,-
glpQ,2349935,2351011,-
glpR,3559848,3560605,-
glpT,2351016,2352374,-
glpX,4114569,4115579,-
glrK,2689671,2691098,-
glrR,2687469,2688803,-
glsA,511641,512573,+
glsB,1612325,1613251,-
gltA,753185,754468,-
gltB,3354725,3359185,+
gltD,3359198,3360616,+
gltF,3361176,3361940,+
gltI,686839,687747,-
gltJ,685929,686669,-
gltK,685255,685929,-
gltL,684530,685255,-
gltP,4294481,4295794,+
gltS,3827460,3828665,-
gltT,4168372,4168447,+
gltU,3943435,3943510,+
gltV,4209774,4209849,+
gltW,2729369,2729444,-
gltX,2519257,2520672,-
gluQ,159186,160112,-
glvB,3861987,3862472,-
glvC,3862497,3863603,-
glvG,3861173,3861987,-
glxK,541888,543033,+
glxR,536586,537464,+
glyA,2684254,2685507,-
glyQ,3724407,3725318,-
glyS,3722328,3724397,-
glyT,4175673,4175747,+
glyU,2998984,2999057,-
glyV,4392360,4392435,+
glyW,1992042,1992117,-
glyX,4392472,4392547,+
glyY,4392583,4392658,+
gmd,2127193,2128314,-
gmhA,243543,244121,+
gmhB,222833,223408,+
gmk,3821428,3822051,+
gmm,2125743,2126222,-
gnd,2099862,2101268,-
gnsA,1052067,1052240,+
gnsB,1637609,1637782,-
gntK,3577065,3577592,-
gntP,4549953,4551296,-
gntR,3577731,3578726,-
gntT,3546559,3547875,+
gntU,3575721,3577061,-
gor,3646299,3647651,+
gph,3513631,3514389,-
gpmA,786843,787595,-
gpmM,3785260,3786804,+
gpp,3962745,3964229,-
gpr,3147897,3148937,+
gpsA,3782642,3783661,-
gpt,255977,256435,+
grcA,2716066,2716449,-
greA,3328239,3328715,-
greB,3536812,3537288,+
groL,4371025,4372671,+
groS,4370688,4370981,+
grpE,2750115,2750708,-
grxA,890496,890753,-
grxB,1123407,1124054,-
grxC,3784191,3784442,-
grxD,1733754,1734101,-
gshA,2814883,2816439,-
gshB,3091878,3092828,+
gsiA,867520,869391,+
gsiB,869411,870949,+
gsiC,870967,871887,+
gsiD,871890,872801,+
gsk,500125,501429,+
gspA,3453929,3455398,-
gspB,3453508,3453927,-
gspC,3455578,3456393,+
gspD,3456377,3458329,+
gspE,3458339,3459820,+
gspF,3459817,3461013,+
gspG,3461023,3461460,+
gspH,3461468,3461977,+
gspI,3461974,3462351,+
gspJ,3462344,3462931,+
gspK,3462924,3463907,+
gspL,3463922,3465085,+
gspM,3465082,3465543,+
gspO,3465543,3466220,+
gss,3136663,3138522,-
gstA,1714377,1714982,+
gstB,879854,880480,-
guaA,2630958,2632535,-
guaB,2632604,2634070,-
guaC,113444,114487,+
guaD,3025766,3027085,+
gudD,2918045,2919385,-
gudP,2920748,2922100,-
gudX,2919406,2920746,-
gutM,2828621,2828980,+
gutQ,2829813,2830778,+
gyrA,2336793,2339420,-
gyrB,3877705,3880119,-
hcaB,2671225,2672037,+
hcaC,2670908,2671228,+
hcaD,2672047,2673249,+
hcaE,2669032,2670393,+
hcaF,2670390,2670908,+
hcaR,2668006,2668896,-
hcaT,2666707,2667846,-
hchA,2035835,2036686,+
hcp,912162,913814,-
hcr,911182,912150,-
hcxA,632389,633477,-
hcxB,836351,837436,+
hda,2618075,2618776,-
hdeA,3656408,3656740,-
hdeB,3655966,3656292,-
hdeD,3656995,3657567,+
hdfR,3947128,3947967,-
hdhA,1697273,1698040,-
helD,1024471,1026525,+
hemA,1263714,1264970,+
hemB,388753,389727,-
hemC,3989825,3990766,-
hemD,3989088,3989828,-
hemE,4197716,4198780,+
hemF,2553225,2554124,+
hemG,4034608,4035153,+
hemH,498055,499017,+
hemL,173602,174882,-
hemN,4052045,4053418,+
hemW,3097267,3098403,+
hemX,3987885,3989066,-
hemY,3986686,3987882,-
hflC,4403300,4404304,+
hflD,1191990,1192631,-
hflK,4402038,4403297,+
hflX,4400672,4401952,+
hfq,4400288,4400596,+
hha,480090,480308,-
hicA,1509286,1509462,+
hicB,1509508,1509924,+
higA,3233728,3234144,-
higB,3234141,3234455,-
hinT,1161885,1162244,+
hipA,1590854,1592176,-
hipB,1592176,1592442,-
hisA,2095125,2095862,+
hisB,2093468,2094535,+
hisC,2092398,2093468,+
hisD,2091097,2092401,+
hisF,2095844,2096620,+
hisG,2090192,2091091,+
hisH,2094535,2095125,+
hisI,2096614,2097225,+
hisJ,2426006,2426788,-
hisL,2089996,2090046,+
hisM,2424517,2425233,-
hisP,2423736,2424509,-
hisQ,2425230,2425916,-
hisR,3982509,3982585,+
hisS,2639301,2640575,-
hiuH,2038956,2039369,+
hldE,3195320,3196753,-
hlyE,1229483,1230394,-
hmp,2685835,2687025,+
hns,1292509,1292922,-
hofB,115714,117099,-
hofC,114522,115724,-
hofM,3521972,3522751,-
hofN,3521433,3521972,-
hofO,3521009,3521449,-
hofP,3520615,3521019,-
hofQ,3519465,3520703,-
hokA,3720448,3720600,-
hokB,1491922,1492071,-
hokC,16751,16903,-
hokD,1645119,1645274,-
hokE,607836,607988,+
holA,670574,671605,-
holB,1155762,1156766,+
holC,4483837,4484280,-
holD,4607803,4608216,+
holE,1925108,1925338,+
hpf,3346173,3346460,+
hprR,2038152,2038823,-
hprS,2036794,2038152,-
hpt,141431,141967,+
hrpA,1483061,1486963,+
hrpB,162105,164534,+
hscA,2657085,2658935,-
hscB,2658952,2659467,-
hscC,681723,683393,-
hsdM,4581459,4583048,-
hsdR,4583249,4586761,-
hsdS,4580068,4581462,-
hslJ,1441321,1441743,-
hslO,3529774,3530652,+
hslR,3529348,3529749,+
hslU,4120416,4121747,-
hslV,4121757,4122287,-
hspQ,1028404,1028721,-
hsrA,3939185,3940612,-
htpG,495120,496994,+
htpX,1911695,1912576,-
htrE,152829,155426,-
htrL,3792826,3793683,-
hupA,4200281,4200553,+
hupB,461451,461723,+
hxpA,2411439,2412089,-
hxpB,1809380,1810048,+
hyaA,1032139,1033257,+
hyaB,1033254,1035047,+
hyaC,1035066,1035773,+
hyaD,1035770,1036357,+
hyaE,1036354,1036752,+
hyaF,1036749,1037606,+
hybA,3144154,3145140,-
hybB,3142986,3144164,-
hybC,3141286,3142989,-
hybD,3140792,3141286,-
hybE,3140311,3140799,-
hybF,3139977,3140318,-
hybG,3139716,3139964,-
hybO,3145143,3146261,-
hycA,2849974,2850435,-
hycB,2849238,2849849,-
hycC,2847415,2849241,-
hycD,2846489,2847412,-
hycE,2844762,2846471,-
hycF,2844210,2844752,-
hycG,2843443,2844210,-
hycH,2843036,2843446,-
hycI,2842573,2843043,-
hydN,2837578,2838105,-
hyfA,2601201,2601818,+
hyfB,2601818,2603836,+
hyfC,2603847,2604794,+
hyfD,2604811,2606250,+
hyfE,2606262,2606912,+
hyfF,2606917,2608497,+
hyfG,2608487,2610154,+
hyfH,2610164,2610709,+
hyfI,2610706,2611464,+
hyfJ,2611457,2611870,+
hyfR,2611900,2613912,+
hyi,535710,536486,+
hypA,2850647,2850997,+
hypB,2851001,2851873,+
hypC,2851864,2852136,+
hypD,2852136,2853257,+
hypE,2853254,2854264,+
hypF,2835173,2837425,-
hypT,4557378,4558289,-
hyuA,3010028,3011413,+
iaaA,866568,867533,+
iadA,4558354,4559526,-
iap,2876581,2877618,+
ibaG,3336549,3336803,-
ibpA,3867009,3867422,-
ibpB,3866469,3866897,-
ibsA,2153349,2153408,-
ibsB,2153681,2153737,-
ibsC,3056890,3056949,-
ibsD,3194766,3194825,+
ibsE,3195141,3195200,+
icd,1195123,1196373,+
icdC,1211413,1211577,+
iclR,4222804,4223628,-
idi,3033065,3033613,+
idlP,4556913,4556996,+
idnD,4493375,4494406,-
idnK,4494623,4495186,+
idnO,4492587,4493351,-
idnR,4490141,4491139,-
idnT,4491206,4492525,-
igaA,3526469,3528604,+
ihfA,1795253,1795552,-
ihfB,963828,964112,+
ileS,22391,25207,+
ileT,4037141,4037217,+
ileU,3427076,3427152,-
ileV,225381,225457,+
ileX,3215598,3215673,+
ileY,2785762,2785837,-
ilvA,3955331,3956875,+
ilvB,3851096,3852784,-
ilvC,3957970,3959445,+
ilvD,3953478,3955328,+
ilvE,3952484,3953413,+
ilvG,3950560,3952204,+
ilvH,87357,87848,+
ilvI,85630,87354,+
ilvL,3950322,3950420,+
ilvM,3952201,3952464,+
ilvN,3850802,3851092,-
ilvX,3950507,3950557,+
ilvY,3956927,3957820,-
inaA,2348822,2349472,-
infA,926225,926443,-
infB,3313342,3316014,-
infC,1800096,1800638,-
insA1,20233,20508,-
insA2,279600,279875,-
insA3,291071,291346,-
insA4,1049833,1050108,+
insA5,1978940,1979215,-
insA6,3583483,3583758,+
insA7,4518527,4518802,+
insA9,258345,258620,-
insB1,19811,20314,-
insB2,279178,279681,-
insB3,290649,291152,-
insB4,1050027,1050530,+
insB5,1978518,1979021,-
insB6,3583677,3584180,+
insB7,4518721,4519224,+
insB9,257923,258426,-
insC1,381351,381716,+
insC2,1468784,1469149,-
insC3,2069815,2070180,-
insC4,2997235,2997600,-
insC5,3186187,3186552,+
insC6,4498272,4498637,+
insD1,381674,382579,+
insD2,1467921,1468826,-
insD3,2068952,2069857,-
insD4,2996372,2997277,-
insD5,3186510,3187415,+
insD6,4498595,4499500,+
insD7,1650881,1651537,+
insE1,315291,315590,+
insE2,392602,392901,-
insE3,566842,567141,+
insE4,1095138,1095437,-
insE5,2170236,2170535,+
insF1,315587,316453,+
insF2,391739,392605,-
insF3,567138,568004,+
insF4,1094275,1095141,-
insF5,2170532,2171398,+
insG,4502103,4503431,-
insH1,274101,275081,-
insH10,3365702,3366682,-
insH11,3652182,3653162,-
insH2,574737,575717,-
insH21,1299567,1300547,+
insH3,687997,688977,-
insH4,1396112,1397092,+
insH5,1427746,1428726,-
insH6,2066305,2067285,-
insH7,2101895,2102875,-
insH8,2289065,2290045,-
insH9,3130214,3131194,+
insI1,270603,271754,+
insI2,279931,280104,+
insI3,4507466,4508617,-
insJ,3720680,3721201,+
insK,3721198,3722049,+
insL1,15445,16557,+
insL2,608065,609177,+
insL3,2514331,2515443,+
insM,4508684,4508942,-
insN,270278,272190,+
insO,4507197,4509793,+
insQ,1503657,1504865,+
insX,280114,280362,-
insZ,1294426,1295322,-
intA,2756159,2757400,+
intB,4496750,4497940,+
intD,564815,565978,-
intE,1199679,1200806,-
intF,295696,297096,-
intG,2012502,2012780,+
intQ,1651512,1652708,+
intR,1412000,1413235,-
intS,2466545,2467702,+
intZ,2558858,2560066,+
iprA,394506,395129,+
iraD,4556993,4557385,+
iraM,1211680,1212003,-
iraP,401386,401646,+
iroK,2668006,2668071,-
iscA,2659563,2659886,-
iscR,2661643,2662131,-
iscS,2660317,2661531,-
iscU,2659903,2660289,-
iscX,2656536,2656736,-
ispA,440202,441101,-
ispB,3333710,3334681,+
ispD,2871780,2872490,-
ispE,1262026,1262877,-
ispF,2871301,2871780,-
ispG,2640686,2641804,-
ispH,26277,27227,+
ispU,194903,195664,+
ispZ,194784,194844,+
isrC,2071317,2071511,+
istR,3853118,3853257,-
ivbL,3852890,3852988,-
ivy,240343,240816,+
jayE,1206131,1206922,+
katE,1813867,1816128,+
katG,4133835,4136015,+
kbaY,3283143,3284003,+
kbaZ,3278914,3280194,+
kbl,3791355,3792551,-
kbp,2796337,2796786,-
kch,1309016,1310269,-
kdgK,3679419,3680348,+
kdgR,1909308,1910099,-
kdgT,4101690,4102673,+
kdpA,727059,728732,-
kdpB,724988,727036,-
kdpC,724407,724979,-
kdpD,721730,724414,-
kdpE,721056,721733,-
kdpF,728732,728821,-
kdsA,1268165,1269019,+
kdsB,970852,971598,+
kdsC,3342273,3342839,+
kdsD,3341266,3342252,+
kduD,2982497,2983258,-
kduI,2983288,2984124,-
kefB,3478802,3480607,-
kefC,47769,49631,+
kefF,47246,47776,+
kefG,3480607,3481161,-
kgtP,2724448,2725746,-
kilR,1418008,1418229,-
kilS,1418405,1418502,-
kptA,4560930,4561484,+
kup,3931316,3933184,+
lacA,361249,361860,-
lacI,366428,367510,-
lacY,361926,363179,-
lacZ,363231,366305,-
lafU,250072,250827,+
lamB,4247971,4249311,+
lapA,1340243,1340551,+
lapB,1340558,1341727,+
lapC,2284376,2286136,+
ldcA,1242166,1243080,-
ldcC,209679,211820,+
ldhA,1441854,1442843,-
ldrA,1269168,1269275,-
ldrB,1269703,1269810,-
ldrC,1270238,1270345,-
ldrD,3699980,3700087,-
ldtA,2062391,2063323,-
ldtB,854824,855744,-
ldtC,1169412,1170374,-
ldtD,981047,982894,+
ldtE,1757721,1758725,-
lepA,2705325,2707124,-
lepB,2704335,2705309,-
letA,1916258,1917541,+
letB,1917510,1920143,+
leuA,81958,83529,-
leuB,80867,81958,-
leuC,79464,80864,-
leuD,78848,79453,-
leuE,1880121,1880759,-
leuL,83622,83708,-
leuO,84368,85312,+
leuP,4606200,4606286,-
leuQ,4606315,4606401,-
leuS,672201,674783,-
leuT,3982606,3982692,+
leuU,3322072,3322158,-
leuV,4606079,4606165,-
leuW,696963,697047,-
leuX,4496405,4496489,+
leuZ,1991815,1991901,-
lexA,4257115,4257723,+
lfhA,248358,250070,-
lgoD,4595990,4597012,+
lgoR,4594937,4595851,-
lgoT,4593361,4594722,-
lgt,2965162,2966037,-
lhgD,2789982,2791250,+
lhr,1729087,1733703,+
ligA,2528161,2530176,-
ligB,3819488,3821170,-
lipA,659251,660216,-
lipB,661637,662278,-
lit,1198695,1199588,+
livF,3592724,3593437,-
livG,3593439,3594206,-
livH,3595477,3596403,-
livJ,3598555,3599658,-
livK,3596451,3597560,-
livM,3594203,3595480,-
lldD,3779827,3781017,+
lldP,3777399,3779054,+
lldR,3779054,3779830,+
lnt,689343,690881,-
loiP,3081913,3082671,+
lolA,937372,937983,+
lolB,1262877,1263500,-
lolC,1175427,1176626,+
lolD,1176619,1177320,+
lolE,1177320,1178564,+
lomR,1427389,1428984,+
lon,458888,461242,+
lpd,127912,129336,+
lplA,4623101,4624117,-
lplT,2972669,2973862,-
lpoA,3293400,3295436,+
lpoB,1162638,1163279,+
lpp,1757421,1757657,+
lptA,3343380,3343937,+
lptB,3343944,3344669,+
lptC,3342836,3343411,+
lptD,54755,57109,-
lptE,671605,672186,-
lptF,4486218,4487318,+
lptG,4487318,4488400,+
lpxA,202560,203348,+
lpxB,203348,204496,+
lpxC,106557,107474,+
lpxD,200971,201996,+
lpxH,553218,553940,-
lpxK,968366,969352,+
lpxL,1115662,1116582,-
lpxM,1939222,1940193,-
lpxP,2495645,2496565,+
lpxT,2268854,2269567,+
lrhA,2405703,2406641,-
lrp,932595,933089,+
lspA,25207,25701,+
lsrA,1601490,1603025,+
lsrB,1605051,1606073,+
lsrC,1603019,1604047,+
lsrD,1604047,1605039,+
lsrF,1606100,1606975,+
lsrG,1606999,1607289,+
lsrK,1598617,1600209,-
lsrR,1600288,1601241,-
ltaE,908293,909294,-
luxS,2814218,2814733,-
lysA,2977637,2978899,-
lysC,4231884,4233233,-
lysO,913958,914857,-
lysP,2247063,2248532,-
lysQ,781577,781652,+
lysR,2979021,2979956,+
lysS,3033657,3035174,-
lysT,780554,780629,+
lysU,4353200,4354717,-
lysV,2521253,2521328,+
lysW,780843,780918,+
lysY,781147,781222,+
lysZ,781369,781444,+
lyxK,3747084,3748580,+
maa,479367,479918,-
macA,919235,920350,+
macB,920347,922293,+
maeA,1553972,1555669,-
maeB,2576098,2578377,-
mak,410144,411052,+
malE,4245229,4246419,-
malF,4243531,4245075,-
malG,4242626,4243516,-
malH,4242531,4242633,-
malI,1698152,1699180,-
malK,4246784,4247899,+
malM,4249554,4250474,+
malP,3550080,3552473,-
malQ,3547986,3550070,-
malS,3737497,3739527,+
malT,3553085,3555790,+
malX,1699355,1700947,+
malY,1700957,1702129,+
malZ,422518,424332,+
manA,1688576,1689751,+
manX,1902048,1903019,+
manY,1903082,1903882,+
manZ,1903895,1904746,+
maoP,3948086,3948424,+
map,188712,189506,-
marA,1619574,1619957,+
marB,1619989,1620207,+
marC,1618243,1618908,-
marR,1619120,1619554,+
matA,310746,311336,-
matP,1018485,1018937,+
mazE,2911091,2911339,-
mazF,2910756,2911091,-
mazG,2909894,2910685,-
mbiA,10830,11315,+
mcaS,1405658,1405751,-
mcbA,841796,842056,-
mcbR,1520262,1520927,+
mcrA,1210346,1211179,+
mcrB,4577958,4579337,-
mcrC,4576912,4577958,-
mdaB,3172530,3173111,+
mdfA,883673,884905,+
mdh,3383330,3384268,-
mdlA,468871,470643,+
mdlB,470636,472417,+
mdtA,2154016,2155263,+
mdtB,2155263,2158385,+
mdtC,2158386,2161463,+
mdtD,2161464,2162879,+
mdtE,3659232,3660389,+
mdtF,3660414,3663527,+
mdtG,1114264,1115490,-
mdtH,1124118,1125326,-
mdtI,1672820,1673149,-
mdtJ,1673136,1673501,-
mdtK,1743457,1744830,+
mdtL,3891615,3892790,+
mdtM,4567287,4568519,-
mdtN,4303078,4304109,-
mdtO,4301027,4303078,-
mdtP,4299564,4301030,-
mdtQ,2227323,2228758,-
mdtU,1673608,1673709,-
melA,4341911,4343266,+
melB,4343369,4344790,+
melR,4340720,4341628,-
menA,4119423,4120349,-
menB,2375962,2376819,-
menC,2375000,2375962,-
menD,2377589,2379259,-
menE,2373648,2375003,-
menF,2379348,2380643,-
menH,2376834,2377592,-
menI,1765222,1765632,-
mepA,2445560,2446384,-
mepH,1734435,1735250,+
mepK,983075,983623,+
mepM,1940313,1941635,-
mepS,2269979,2270545,+
metA,4214280,4215209,+
metB,4128672,4129832,+
metC,3152236,3153423,+
metE,4013053,4015314,+
metF,4132616,4133506,+
metG,2194300,2196333,+
metH,4223828,4227511,+
metI,220968,221621,-
metJ,4128078,4128395,-
metK,3086706,3087860,+
metL,4129835,4132267,+
metN,221614,222645,-
metQ,220113,220928,-
metR,4011863,4012816,-
metT,697057,697133,-
metU,696664,696740,-
metV,2947607,2947683,+
metW,2947497,2947573,+
metY,3318213,3318289,-
metZ,2947387,2947463,+
mfd,1170518,1173964,-
mglA,2237769,2239289,-
mglB,2239350,2240348,-
mglC,2236743,2237753,-
mgrB,1908623,1908766,-
mgrR,1622817,1622914,-
mgsA,1026557,1027015,-
mgtA,4467625,4470321,+
mgtL,4467431,4467484,+
mgtS,1622646,1622741,+
mgtT,1622741,1622845,+
mhpA,368611,370275,+
mhpB,370277,371221,+
mhpC,371239,372105,+
mhpD,372115,372924,+
mhpE,373868,374881,+
mhpF,372921,373871,+
mhpR,367587,368420,-
mhpT,375459,376670,+
miaA,4399252,4400202,+
miaB,693531,694955,-
micA,2814802,2814874,+
micC,1437121,1437231,+
micF,2313084,2313176,+
micL,1958441,1958520,-
minC,1225385,1226080,-
minD,1224549,1225361,-
minE,1224279,1224545,-
mioC,3926012,3926455,-
mipA,1865726,1866472,-
mlaA,2464252,2465007,-
mlaB,3336963,3337256,-
mlaC,3337256,3337891,-
mlaD,3337910,3338461,-
mlaE,3338466,3339248,-
mlaF,3339256,3340065,-
mlc,1667344,1668564,-
mliC,1718066,1718395,-
mlrA,2214866,2215597,+
mltA,2946081,2947178,-
mltB,2824491,2825576,-
mltC,3104433,3105512,+
mltD,232597,233955,-
mltF,2695801,2697357,+
mltG,1154112,1155134,+
mmuM,276715,277647,+
mmuP,275325,276728,+
mnaT,1518328,1518846,-
mngA,765984,767960,+
mngB,767978,770611,+
mngR,765153,765875,-
mnmA,1192667,1193773,-
mnmC,2441764,2443770,+
mnmE,3886828,3888192,+
mnmG,3923744,3925633,-
mntH,2511468,2512706,-
mntP,1905688,1906254,+
mntR,853183,853650,+
mntS,852869,852997,-
moaA,817044,818033,+
moaB,818055,818567,+
moaC,818570,819055,+
moaD,819048,819293,+
moaE,819295,819747,+
mobA,4041415,4041999,-
mobB,4040906,4041433,-
mocA,3015160,3015738,+
modA,795089,795862,+
modB,795862,796551,+
modC,796554,797612,+
modE,793856,794644,-
modF,792316,793788,-
moeA,865129,866364,-
moeB,864380,865129,-
mog,9306,9893,+
mokA,3720448,3720632,-
mokB,1491962,1492129,-
mokC,16751,16960,-
motA,1976252,1977139,-
motB,1975329,1976255,-
motR,1977208,1977302,-
mpaA,1389870,1390598,-
mpl,4455785,4457158,+
mppA,1393227,1394840,+
mprA,2810770,2811300,+
mqo,2305108,2306754,-
mqsA,3167851,3168246,-
mqsR,3168248,3168544,-
mraY,96002,97084,+
mraZ,89634,90092,+
mrcA,3522871,3525423,+
mrcB,164730,167264,+
mrdA,666316,668217,-
mrdB,665201,666313,-
mreB,3400044,3401087,-
mreC,3398875,3399978,-
mreD,3398387,3398875,-
mrp,2193059,2194168,-
mrr,4586949,4587863,+
msbA,966621,968369,+
mscK,486536,489898,+
mscL,3438024,3438434,+
mscM,4386047,4389370,-
mscS,3068947,3069807,-
msrA,4441538,4442176,-
msrB,1862016,1862429,-
msrC,1915631,1916128,-
msrP,2039478,2040482,+
msrQ,2040483,2041118,+
msyB,1113807,1114181,-
mtfA,2043651,2044448,+
mtgA,3349081,3349809,-
mtlA,3772281,3774194,+
mtlD,3774424,3775572,+
mtlR,3775572,3776159,+
mtn,178455,179153,-
mtr,3304573,3305817,-
mug,3214967,3215473,-
mukB,976326,980786,+
mukE,975622,976326,+
mukF,974319,975641,+
murA,3335235,3336494,-
murB,4172057,4173085,+
murC,100765,102240,+
murD,97087,98403,+
murE,93166,94653,+
murF,94650,96008,+
murG,99644,100711,+
murI,4165428,4166285,+
murJ,1127839,1129374,+
murP,2546673,2548097,+
murQ,2545773,2546669,+
murR,2544752,2545609,-
mutH,2969662,2970351,+
mutL,4397412,4399259,+
mutM,3810343,3811152,-
mutS,2857093,2859654,+
mutT,111044,111433,+
mutY,3103013,3104065,+
mzrA,3248439,3248822,+
nac,2061016,2061933,-
nadA,782085,783128,+
nadB,2710420,2712042,+
nadC,117752,118645,-
nadD,669931,670572,-
nadE,1822458,1823285,+
nadK,2750831,2751709,+
nadR,4627315,4628547,+
nagA,701603,702751,-
nagB,702811,703611,-
nagC,700374,701594,-
nagE,703944,705890,+
nagK,1178593,1179504,+
nagZ,1164095,1165120,+
nanA,3372683,3373576,-
nanC,4538785,4539501,-
nanE,3370347,3371036,-
nanK,3369475,3370350,-
nanM,4537659,4538765,-
nanQ,3369014,3369478,-
nanR,3373698,3374489,-
nanS,4536614,4537594,-
nanT,3371084,3372574,-
nanX,4504058,4505275,+
nanY,4505287,4506405,+
napA,2300267,2302753,-
napB,2298269,2298718,-
napC,2297657,2298259,-
napD,2302750,2303013,-
napF,2303003,2303497,-
napG,2299565,2300260,-
napH,2298715,2299578,-
narG,1279864,1283607,+
narH,1283604,1285142,+
narI,1285849,1286526,+
narJ,1285139,1285849,+
narK,1277957,1279348,+
narL,1275179,1275829,-
narP,2290500,2291147,+
narQ,2585731,2587431,+
narS,1279337,1279520,+
narU,1542672,1544060,-
narV,1535937,1536617,-
narW,1536614,1537309,-
narX,1275822,1277618,-
narY,1537309,1538853,-
narZ,1538850,1542590,-
ndh,1166085,1167389,+
ndk,2644433,2644864,-
nei,745935,746726,+
nemA,1726659,1727756,+
nemR,1726023,1726622,+
nepI,3840549,3841739,-
nfeF,3215727,3216491,-
nfeR,3216779,3217402,+
nfi,4198790,4199461,+
nfo,2250840,2251697,+
nfrA,587982,590954,-
nfrB,590941,593178,-
nfsA,891184,891906,+
nfsB,604771,605424,-
nfuA,3545624,3546199,+
nhaA,17489,18655,+
nhaB,1233176,1234717,-
nhaR,18715,19620,+
nhoA,1534024,1534869,+
nikA,3613667,3615241,+
nikB,3615241,3616185,+
nikC,3616182,3617015,+
nikD,3617015,3617779,+
nikE,3617776,3618582,+
nikR,3618588,3618989,+
nimR,1874755,1875576,-
nimT,1875673,1876854,+
ninE,572921,573091,+
nirB,3494011,3496554,+
nirC,3497003,3497809,+
nirD,3496551,3496877,+
nlpA,3839175,3839993,-
nlpC,1792267,1792731,-
nlpD,2867614,2868753,-
nlpE,215269,215979,+
nlpI,3308040,3308924,-
nmpC,574529,576825,-
nnr,4394066,4395613,+
nohA,1635798,1636367,-
nohD,580834,581379,+
norR,2830775,2832289,-
norV,2832476,2833915,+
norW,2833912,2835045,+
npr,3347966,3348238,+
nrdA,2344865,2347150,+
nrdB,2347384,2348514,+
nrdD,4460522,4462660,-
nrdE,2801348,2803492,+
nrdF,2803502,2804461,+
nrdG,4459900,4460364,-
nrdH,2800723,2800968,+
nrdI,2800965,2801375,+
nrdR,433002,433451,+
nrfA,4287764,4289200,+
nrfB,4289245,4289811,+
nrfC,4289808,4290479,+
nrfD,4290476,4291432,+
nrfE,4291512,4293170,+
nrfF,4293163,4293546,+
nrfG,4293543,4294139,+
nsrR,4406190,4406615,+
nth,1711523,1712158,+
nudB,1948180,1948632,-
nudC,4196903,4197676,+
nudE,3525589,3526149,-
nudF,3177281,3177910,-
nudG,1841490,1841897,+
nudI,2364554,2364979,+
nudJ,1193827,1194288,-
nudK,2582903,2583478,-
nudL,1896170,1896748,+
nuoA,2404629,2405072,-
nuoB,2403951,2404613,-
nuoC,2402055,2403845,-
nuoE,2401552,2402052,-
nuoF,2400218,2401555,-
nuoG,2397439,2400165,-
nuoH,2396465,2397442,-
nuoI,2395908,2396450,-
nuoJ,2395342,2395896,-
nuoK,2395043,2395345,-
nuoL,2393205,2395046,-
nuoM,2391512,2393041,-
nuoN,2390048,2391505,-
nupC,2513042,2514244,+
nupG,3105714,3106970,+
nupX,2252895,2254145,-
nusA,3316039,3317526,-
nusB,435137,435556,+
nusG,4177743,4178288,+
obgE,3330582,3331754,-
ogrK,2167302,2167520,-
ogt,1399721,1400236,-
ohsC,2700520,2700598,+
ompA,1019013,1020053,-
ompC,2311646,2312749,-
ompF,985894,986982,-
ompG,1381947,1382852,+
ompL,4063603,4064295,-
ompN,1435760,1436893,-
ompR,3535865,3536584,-
ompT,584680,585633,-
ompW,1314020,1314658,+
ompX,850450,850965,+
omrA,2976102,2976189,-
omrB,2976304,2976385,-
opgB,4597150,4599441,-
opgC,1107784,1108941,-
opgD,1496856,1498511,+
opgE,851014,852597,-
opgG,1109335,1110870,+
opgH,1110863,1113406,+
oppA,1301182,1302813,+
oppB,1302899,1303819,+
oppC,1303834,1304742,+
oppD,1304754,1305767,+
oppF,1305764,1306768,+
orn,4391604,4392149,+
ortT,1517389,1517562,+
osmB,1343110,1343328,-
osmC,1556625,1557056,+
osmE,1821918,1822256,-
osmF,2218564,2219481,-
osmY,4611396,4612001,+
